OMRKK;TID;INDHOLD
Bydel - Vesterbro/Kongens Enghave;2002K1;51037
Bydel - Vesterbro/Kongens Enghave;2002K2;51041
Bydel - Vesterbro/Kongens Enghave;2002K3;50878
Bydel - Vesterbro/Kongens Enghave;2002K4;50981
Bydel - Vesterbro/Kongens Enghave;2003K1;51035
Bydel - Vesterbro/Kongens Enghave;2003K2;51179
Bydel - Vesterbro/Kongens Enghave;2003K3;50921
Bydel - Vesterbro/Kongens Enghave;2003K4;51042
Bydel - Vesterbro/Kongens Enghave;2004K1;50972
Bydel - Vesterbro/Kongens Enghave;2004K2;50914
Bydel - Vesterbro/Kongens Enghave;2004K3;50560
Bydel - Vesterbro/Kongens Enghave;2004K4;50729
Bydel - Vesterbro/Kongens Enghave;2005K1;50663
Bydel - Vesterbro/Kongens Enghave;2005K2;50592
Bydel - Vesterbro/Kongens Enghave;2005K3;50297
Bydel - Vesterbro/Kongens Enghave;2005K4;50385
Bydel - Vesterbro/Kongens Enghave;2006K1;50299
Bydel - Vesterbro/Kongens Enghave;2006K2;50181
Bydel - Vesterbro/Kongens Enghave;2006K3;50045
Bydel - Vesterbro/Kongens Enghave;2006K4;50672
Bydel - Vesterbro/Kongens Enghave;2007K1;50966
Bydel - Vesterbro/Kongens Enghave;2007K2;51205
Bydel - Vesterbro/Kongens Enghave;2007K3;51100
Bydel - Vesterbro/Kongens Enghave;2007K4;51429
Bydel - Vesterbro/Kongens Enghave;2008K1;51488
Bydel - Vesterbro/Kongens Enghave;2008K2;51859
Bydel - Vesterbro/Kongens Enghave;2008K3;52217
Bydel - Vesterbro/Kongens Enghave;2008K4;52936
Bydel - Vesterbro/Kongens Enghave;2009K1;53358
Bydel - Vesterbro/Kongens Enghave;2009K2;53980
Bydel - Vesterbro/Kongens Enghave;2009K3;54154
Bydel - Vesterbro/Kongens Enghave;2009K4;54912
Bydel - Vesterbro/Kongens Enghave;2010K1;55316
Bydel - Vesterbro/Kongens Enghave;2010K2;55733
Bydel - Vesterbro/Kongens Enghave;2010K3;55958
Bydel - Vesterbro/Kongens Enghave;2010K4;56864
Bydel - Vesterbro/Kongens Enghave;2011K1;57133
Bydel - Vesterbro/Kongens Enghave;2011K2;57408
Bydel - Vesterbro/Kongens Enghave;2011K3;57535
Bydel - Vesterbro/Kongens Enghave;2011K4;58266
Bydel - Vesterbro/Kongens Enghave;2012K1;58431
Bydel - Vesterbro/Kongens Enghave;2012K2;58627
Bydel - Vesterbro/Kongens Enghave;2012K3;58591
Bydel - Vesterbro/Kongens Enghave;2012K4;59029
Bydel - Vesterbro/Kongens Enghave;2013K1;59240
Bydel - Vesterbro/Kongens Enghave;2013K2;59446
Bydel - Vesterbro/Kongens Enghave;2013K3;59527
Bydel - Vesterbro/Kongens Enghave;2013K4;60242
Bydel - Vesterbro/Kongens Enghave;2014K1;60328
Bydel - Vesterbro/Kongens Enghave;2014K2;60513
Bydel - Vesterbro/Kongens Enghave;2014K3;60709
Bydel - Vesterbro/Kongens Enghave;2014K4;61636
Bydel - Vesterbro/Kongens Enghave;2015K1;61623
Bydel - Vesterbro/Kongens Enghave;2015K2;61899
Bydel - Vesterbro/Kongens Enghave;2015K3;61766
Bydel - Vesterbro/Kongens Enghave;2015K4;62715
Bydel - Vesterbro/Kongens Enghave;2016K1;62962
Bydel - Vesterbro/Kongens Enghave;2016K2;63463
Bydel - Vesterbro/Kongens Enghave;2016K3;64053
Bydel - Vesterbro/Kongens Enghave;2016K4;64665
Bydel - Vesterbro/Kongens Enghave;2017K1;65194
Bydel - Vesterbro/Kongens Enghave;2017K2;65962
Bydel - Vesterbro/Kongens Enghave;2017K3;66023
Bydel - Vesterbro/Kongens Enghave;2017K4;67001
Bydel - Vesterbro/Kongens Enghave;2018K1;67884
Bydel - Vesterbro/Kongens Enghave;2018K2;68385
Bydel - Vesterbro/Kongens Enghave;2018K3;68772
Bydel - Vesterbro/Kongens Enghave;2018K4;69702
Bydel - Vesterbro/Kongens Enghave;2019K1;69808
Bydel - Vesterbro/Kongens Enghave;2019K2;70326
Bydel - Vesterbro/Kongens Enghave;2019K3;70993
Bydel - Vesterbro/Kongens Enghave;2019K4;72128
Bydel - Vesterbro/Kongens Enghave;2020K1;72688
Bydel - Vesterbro/Kongens Enghave;2020K2;72892
Bydel - Vesterbro/Kongens Enghave;2020K3;73098
Bydel - Vesterbro/Kongens Enghave;2020K4;74175
Bydel - Vesterbro/Kongens Enghave;2021K1;74558
Bydel - Vesterbro/Kongens Enghave;2021K2;75166
Bydel - Vesterbro/Kongens Enghave;2021K3;75832
Bydel - Vesterbro/Kongens Enghave;2021K4;77074
Bydel - Vesterbro/Kongens Enghave;2022K1;77283
Bydel - Vesterbro/Kongens Enghave;2022K2;77442
Bydel - Vesterbro/Kongens Enghave;2022K3;77704
Bydel - Vesterbro/Kongens Enghave;2022K4;78894
Bydel - Vesterbro/Kongens Enghave;2023K1;79646
Bydel - Vesterbro/Kongens Enghave;2023K2;80002
Bydel - Vesterbro/Kongens Enghave;2023K3;80363
Bydel - Vesterbro/Kongens Enghave;2023K4;81143
Bydel - Vesterbro/Kongens Enghave;2024K1;80920
Bydel - Vesterbro/Kongens Enghave;2024K2;81387
Bydel - Vesterbro/Kongens Enghave;2024K3;81788
