OMRKK;TID;INDHOLD
Indre By - Gammelholm og Nyhavn;2019;1249,7
Indre By - Gammelholm og Nyhavn;2020;1455,6
Indre By - Gammelholm og Nyhavn;2021;1761,2
Indre By - Gammelholm og Nyhavn;2022;1347,4
Indre By - Gammelholm og Nyhavn;2023;1105,8
Indre By - Gammelholm og Nyhavn;2024;1621,2
Christianshavn - Neden Vandet;2006;1231,0
Christianshavn - Neden Vandet;2007;2030,7
Christianshavn - Neden Vandet;2008;2060,0
Christianshavn - Neden Vandet;2009;1408,8
Christianshavn - Neden Vandet;2010;1900,1
Christianshavn - Neden Vandet;2011;1865,9
Christianshavn - Neden Vandet;2012;2144,1
Christianshavn - Neden Vandet;2013;1759,2
Christianshavn - Neden Vandet;2014;2039,0
